Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
62,0.9075269162654876,1.071586126089096,0.4784277677536011,0.58551025390625,642.27
63,0.9042874813079834,1.0684675216674804,0.5056005120277405,0.5609694719314575,652.99
64,0.9016010403633118,1.0693203210830688,0.5129491090774536,0.5342800617218018,663.35
65,0.8927904367446899,1.0669234454631806,0.5002191662788391,0.5463880896568298,673.85
66,0.899795413017273,1.065277624130249,0.5016767978668213,0.6076714992523193,683.98
67,0.9020947515964508,1.0712315618991852,0.5003418326377869,0.5498219132423401,693.92
68,0.8971923768520356,1.069043231010437,0.5426965355873108,0.448700875043869,704.33
69,0.8993271708488464,1.064623087644577,0.49337470531463623,0.6110972762107849,714.55
70,0.9112383663654328,1.0647877335548401,0.5587928891181946,0.4629823863506317,724.98
71,0.9032748222351075,1.0685834407806396,0.4897037744522095,0.4716475009918213,735.3
72,0.9002779006958008,1.062884670495987,0.540829598903656,0.48751965165138245,745.72
73,0.8888608455657959,1.0685800313949585,0.4941761791706085,0.5151371955871582,756.19
74,0.8938601076602936,1.0655625879764556,0.48599857091903687,0.6016384959220886,766.1
75,0.8926815748214721,1.0634071469306945,0.5023671984672546,0.5308662056922913,776.05
76,0.9012304067611694,1.0603885769844055,0.5220295786857605,0.5268014073371887,785.74
77,0.8920829057693481,1.0599325597286224,0.5281538963317871,0.49421676993370056,796.04
78,0.886836189031601,1.0597332894802094,0.4936539828777313,0.5795161724090576,806.18
79,0.8924817025661469,1.061478716135025,0.5286079049110413,0.4778725206851959,816.42
80,0.8869264483451843,1.063472366333008,0.5121829509735107,0.5171589255332947,826.75
81,0.890384191274643,1.068560427427292,0.5233760476112366,0.5100700259208679,837.08
82,0.9039291441440582,1.0647888779640198,0.4809480309486389,0.5853149890899658,847.37
83,0.8925639688968658,1.0615679502487183,0.5388284921646118,0.5923601984977722,857.53
84,0.887675803899765,1.061007910966873,0.5215886831283569,0.5159507393836975,867.88
85,0.8850879430770874,1.0589508652687072,0.5179893970489502,0.5925859808921814,878.21
86,0.8869043827056885,1.0590672194957733,0.49744531512260437,0.5972892642021179,888.53
87,0.8815666258335113,1.0579528629779815,0.5438680052757263,0.496349960565567,898.56
88,0.8833406090736389,1.0562472343444824,0.4859459698200226,0.6345979571342468,908.65
89,0.8752123713493347,1.0584573566913604,0.5469358563423157,0.5941959619522095,918.96
90,0.8852758228778839,1.0576516091823578,0.5350952744483948,0.4791664779186249,929.06
91,0.881865668296814,1.0573678135871887,0.4712205231189728,0.6441172957420349,938.8
92,0.9036267340183258,1.0633267223834992,0.5249755382537842,0.461129367351532,948.69
