Epoch,TruePositive,FalsePositive,TrueNegative,FalseNegative,Precision,Recall,Fscore,NodeTrain,NetTrain,NodeValid,NetValid,Time
44,251030,161941,17391,29133,0.6078635061541852,0.896014106073964,0.7243332458081698,0.6545395433902741,0.40417411625385286,0.6833073496818542,0.5144668221473694,1541.22
45,263857,170548,8784,16306,0.607398625706426,0.941798167495351,0.7385077417404642,0.653238183259964,0.40204095393419265,0.6851030588150024,0.5230196714401245,1575.73
46,265415,170701,8631,14748,0.608588082069908,0.9473592158850384,0.7410939033533023,0.6560550332069397,0.4034282132983208,0.6771184206008911,0.5119657516479492,1610.2
47,253583,164900,14432,26580,0.6059577091542547,0.9051266584095687,0.725927007382852,0.6541855156421661,0.40281459540128706,0.6783895492553711,0.5107774138450623,1644.07
48,264269,168703,10629,15894,0.610360485204586,0.9432687399835096,0.7411471881200613,0.653526896238327,0.40276005268096926,0.679472029209137,0.5134239196777344,1678.27
49,243486,156483,22849,36677,0.6087621790688779,0.8690869243975828,0.7159963065993072,0.6517191886901855,0.4017010360956192,0.6828131079673767,0.5159618854522705,1712.05
50,269611,171135,8197,10552,0.6117151375168465,0.9623362114197807,0.7479751258480614,0.6511891424655915,0.39983132034540175,0.6818925738334656,0.5157951712608337,1746.91
51,259334,166510,12822,20829,0.6089882680042457,0.9256539942819002,0.7346499397314756,0.6531120598316192,0.3999021753668785,0.6819019317626953,0.519748866558075,1780.7
52,262080,167369,11963,18083,0.6102703697062981,0.9354554313024918,0.7386571816711104,0.6452134728431702,0.4000185430049896,0.6805040240287781,0.5093201994895935,1815.33
53,263175,168715,10617,16988,0.609356549121304,0.9393638703183503,0.7392005932142691,0.6504005789756775,0.40077891796827314,0.6796725392341614,0.5121248364448547,1849.6
54,242624,158105,21227,37539,0.6054565554277329,0.8660101440946877,0.7126651510077957,0.6560716986656189,0.4006726533174515,0.6805777549743652,0.5191625952720642,1883.87
55,251811,165208,14124,28352,0.6038357964505214,0.8988017689702066,0.7223680473678321,0.6485149741172791,0.39993176609277725,0.6865273118019104,0.5204651951789856,1917.69
56,264202,169274,10058,15961,0.6094962581550074,0.9430295934866488,0.7404359907460214,0.6478337824344635,0.39736126363277435,0.6877636313438416,0.5127469897270203,1952.28
57,264653,168687,10645,15510,0.6107282964877463,0.9446393706520847,0.7418413097071771,0.6481334686279296,0.3987725079059601,0.6861045360565186,0.5162462592124939,1986.62
58,228911,152377,26955,51252,0.600362455676549,0.8170636379536198,0.6921480200347419,0.6498126566410065,0.39886330217123034,0.6870977282524109,0.5107004046440125,2021.36
59,267651,174675,4657,12512,0.6050989541650276,0.9553402840489287,0.7409137024923563,0.6426248788833618,0.3968938201665878,0.697405993938446,0.5176104307174683,2055.48
60,243162,164230,15102,37001,0.5968747545361716,0.8679304547709726,0.7073237777341449,0.64445561170578,0.4035449683666229,0.6911853551864624,0.526269257068634,2089.95
61,252155,169913,9419,28008,0.597427428755556,0.9000296256108051,0.7181539977585724,0.6421031653881073,0.39866773039102554,0.6864835023880005,0.5129391551017761,2124.01
62,239033,159082,20250,41130,0.6004119412732501,0.8531926057330911,0.7048230961346232,0.6420549154281616,0.39807536602020266,0.6876853704452515,0.5154762864112854,2158.56
63,234518,154890,24442,45645,0.6022423781740488,0.8370769873252357,0.7005022618960499,0.6392910182476044,0.39710890501737595,0.6954553127288818,0.520158052444458,2192.99
64,220448,149100,30232,59715,0.5965341444142575,0.7868562229844769,0.6786032559091657,0.6378161013126373,0.39866249114274976,0.6908535361289978,0.5306299328804016,2227.7
65,213615,143323,36009,66548,0.598465279684427,0.7624668496553791,0.6705844128325023,0.6417986810207367,0.3987066224217415,0.6897163987159729,0.5100212693214417,2262.27
66,246876,162392,16940,33287,0.6032135422266095,0.8811870232685972,0.716173192096091,0.6396558701992034,0.3955193594098091,0.6988231539726257,0.5187885761260986,2297.07
67,246186,162757,16575,33977,0.6020056584903031,0.8787241712860013,0.7145083630094644,0.6421607792377472,0.39508349597454073,0.6949643492698669,0.5262038111686707,2331.11
68,252907,162650,16682,27256,0.6085976171740579,0.9027137773367647,0.7270367389179554,0.6399139404296875,0.39923436343669894,0.6909821033477783,0.5217401385307312,2366.18
69,172604,105844,73488,107559,0.6198787565362294,0.6160842081217006,0.6179756574789971,0.6352306544780731,0.39456629753112793,0.706261396408081,0.5114466547966003,2400.66
70,268561,171266,8066,11602,0.6106059882635673,0.9585883931853957,0.746013139071376,0.6355269014835357,0.3960962176322937,0.6791495084762573,0.5090962052345276,2435.38
71,261626,165694,13638,18537,0.6122484320883647,0.9338349460849577,0.7395965698115714,0.6509661316871643,0.4006522625684738,0.675845742225647,0.5267126560211182,2469.48
72,249701,162397,16935,30462,0.6059262602584822,0.8912704389944425,0.7214070993454781,0.6411762177944184,0.39442533999681473,0.6854425668716431,0.5140261650085449,2503.99
73,253103,166576,12756,27060,0.6030871213475061,0.9034133700738499,0.7233146910302611,0.6403211772441864,0.3944153472781181,0.6931300163269043,0.5161859393119812,2537.9
74,244228,164202,15130,35935,0.5979678280243861,0.8717353826165483,0.7093537111181787,0.6359203100204468,0.3929298177361488,0.7009645700454712,0.5209068059921265,2572.24
75,216356,145750,33582,63807,0.5974935516119589,0.7722504399224737,0.6737239381007024,0.6431675612926483,0.3952986866235733,0.7061203122138977,0.5163508653640747,2606.4
76,252810,170962,8370,27353,0.5965707975043184,0.9023675503189215,0.7182765454196766,0.6387441039085389,0.3969947755336761,0.6909929513931274,0.5156514644622803,2642.61
77,215149,143805,35527,65014,0.5993776361316492,0.7679422336282807,0.6732695265499118,0.6447061479091645,0.3948295250535011,0.6915940046310425,0.5204660296440125,2676.67
78,227025,150812,28520,53138,0.6008543366584003,0.8103318425345245,0.6900455927051672,0.6411259829998016,0.3961857706308365,0.692623496055603,0.517824113368988,2711.27
79,229570,152241,27091,50593,0.6012660714332484,0.8194158400645338,0.6935921954638702,0.6385514378547669,0.39968076944351194,0.6892922520637512,0.512489914894104,2745.66
80,267452,174999,4333,12711,0.6044782360080552,0.9546299832597452,0.7402347588062229,0.6322063028812408,0.3956460416316986,0.6961203217506409,0.52683025598526,2780.7
81,237686,160078,19254,42477,0.5975553343188423,0.8483846903409801,0.7012141425256702,0.6376654803752899,0.39491115510463715,0.7007706761360168,0.5159357786178589,2815.02
82,255442,167021,12311,24721,0.6046494012493402,0.9117620813597799,0.7271065972508847,0.63717822432518,0.3931767001748085,0.6946531534194946,0.5109655857086182,2851.15
83,242593,161494,17838,37570,0.6003484398161782,0.8658994942230059,0.7090770917062477,0.6399457037448884,0.39606060832738876,0.6949561238288879,0.5227881669998169,2885.35
84,246596,167006,12326,33567,0.5962156856108046,0.8801876050727612,0.7108920167491873,0.6383247911930084,0.3959102645516396,0.6887626647949219,0.5136592388153076,2920.11
85,217666,145283,34049,62497,0.599715111489493,0.7769262893387064,0.676914752018311,0.6306885600090026,0.39163745790719984,0.7029392123222351,0.521392822265625,2954.37
86,257937,167805,11527,22226,0.6058528404526685,0.9206676113548184,0.7307980535624481,0.6323934435844422,0.3933780983090401,0.6912456154823303,0.5195682644844055,2989.49
87,223395,151274,28058,56768,0.5962462867224136,0.7973750994956508,0.6822971388081217,0.6320310294628143,0.39103530496358874,0.7056347727775574,0.5172267556190491,3023.86
88,251974,170211,9121,28189,0.5968331418690859,0.8993835731342111,0.7175189507195864,0.6315253257751465,0.39115834385156634,0.7131152153015137,0.51103276014328,3063.44
89,219475,147735,31597,60688,0.597682524985703,0.7833832447539468,0.6780480495788362,0.6299641370773316,0.3951581954956055,0.7087717652320862,0.5249549746513367,3105.97
90,251251,167602,11730,28912,0.5998548416747642,0.8968029325785346,0.7188705265687767,0.6335917592048645,0.4022284343838692,0.6973450183868408,0.5088314414024353,3146.82
91,224989,154533,24799,55174,0.5928220234927093,0.8030646445105171,0.6821104011763189,0.6346139371395111,0.3893021419644356,0.7015148997306824,0.5234060287475586,3183.88
92,208502,138036,41296,71661,0.6016713895734378,0.744216759529274,0.6653954597168346,0.6353954315185547,0.3909781023859978,0.7071549296379089,0.5264920592308044,3221.35
93,244649,163106,16226,35514,0.5999901901877353,0.8732380792610016,0.7112737273919275,0.6281579792499542,0.3899385556578636,0.6987074017524719,0.5156762599945068,3258.33
94,230568,153406,25926,49595,0.6004781573752389,0.8229780520625493,0.6943386680760143,0.6300516784191131,0.3906633913516998,0.7050359845161438,0.518735945224762,3295.61
95,247225,165577,13755,32938,0.5988948696953987,0.8824327266626928,0.7135281002648041,0.627112752199173,0.3930067554116249,0.7045568227767944,0.5217067003250122,3332.99
96,230837,151407,27925,49326,0.6038996033946903,0.8239382074006918,0.6969642530951514,0.629428231716156,0.3900554597377777,0.6999003887176514,0.518878161907196,3370.64
97,239053,161708,17624,41110,0.59649766319577,0.8532639927470794,0.7021429704342922,0.6297703444957733,0.3875216543674469,0.6997130513191223,0.5107115507125854,3408.14
98,219444,146830,32502,60719,0.5991252450351376,0.783272594882265,0.6789339100329963,0.6350090742111206,0.3893869087100029,0.7156587839126587,0.5246290564537048,3446.52
99,240203,157951,21381,39960,0.6032916911546788,0.8573687460514058,0.7082322866742247,0.6332836270332336,0.39778894037008283,0.6928437948226929,0.5153582692146301,3485.06
100,232634,158316,21016,47529,0.5950479600971992,0.8303523306075392,0.6932781811706822,0.6259600043296814,0.3911818489432335,0.7080698609352112,0.5222862958908081,3522.37
101,238546,158606,20726,41617,0.600641567963903,0.8514543319424763,0.7043871758339916,0.624391782283783,0.39120654165744784,0.7127774953842163,0.518142580986023,3559.64
102,254984,167141,12191,25179,0.6040485638140362,0.9101273187394481,0.7261522338413869,0.6286339581012725,0.3880370244383812,0.6966877579689026,0.516029953956604,3598.21
103,236834,157397,21935,43329,0.6007493068784545,0.8453436035450791,0.7023609344092623,0.6262571454048157,0.38724497705698013,0.6998052000999451,0.5194017291069031,3634.96
104,224216,151612,27720,55947,0.5965920580691167,0.8003055364198699,0.6835947444400915,0.6230777740478516,0.38514256328344343,0.708604097366333,0.5211769938468933,3673.75
105,213040,148301,31031,67123,0.589581586368555,0.760414473003216,0.6641891554846112,0.6272274732589722,0.39020724296569825,0.7223499417304993,0.5355948209762573,3709.91
106,253146,165043,14289,27017,0.6053387343999962,0.9035668521539246,0.7249810983572753,0.6304553151130676,0.39454489946365356,0.6993438601493835,0.5105941295623779,3745.14
107,219012,148594,30738,61151,0.5957791766184447,0.781730635380118,0.6762040171727884,0.6250150561332702,0.39450303465127945,0.7120041847229004,0.533869206905365,3779.18
108,234743,160069,19263,45420,0.594569060717506,0.8378800912326039,0.6955605763176415,0.6253949701786041,0.3886518880724907,0.7065596580505371,0.5150086283683777,3813.7
109,245648,163374,15958,34515,0.6005740522514681,0.8768038606097165,0.7128651958472688,0.6229190826416016,0.38653320372104644,0.7003437280654907,0.5203825831413269,3848.3
110,246723,164169,15163,33440,0.6004570544084576,0.8806409126115868,0.714047362366237,0.6207118153572082,0.3873629540205002,0.7128767967224121,0.5364643931388855,3882.81
111,221570,145230,34102,58593,0.604062159214831,0.7908610344692197,0.6849541627573756,0.6184746623039246,0.3806702956557274,0.7155225276947021,0.5238968729972839,3919.34
112,234922,152525,26807,45241,0.6063332533223899,0.8385190050077991,0.703770165216219,0.616571456193924,0.3820930659770966,0.7118775844573975,0.5206544399261475,3955.89
113,239639,156345,22987,40524,0.6051734413511657,0.8553556322569361,0.7088369836736687,0.6168271213769912,0.38316724449396133,0.7125646471977234,0.5228575468063354,3992.5
114,213718,140734,38598,66445,0.6029532912778035,0.7628344927774189,0.673535923355105,0.6191799640655518,0.3819283351302147,0.7131520509719849,0.5212932229042053,4029.21
115,248184,165029,14303,31979,0.6006200192152715,0.8858557339834311,0.7158713309950158,0.6199080348014832,0.3833770975470543,0.7148120403289795,0.5391446352005005,4065.39
116,214528,141022,38310,65635,0.6033694276473069,0.7657256668439444,0.6749209155703909,0.6190508157014847,0.38115665763616563,0.7306510210037231,0.5240129232406616,4102.32
117,238304,156596,22736,41859,0.6034540389972145,0.8505905490732181,0.7060200307230584,0.620778602361679,0.38225207328796384,0.7006222009658813,0.5385147333145142,4139.02
118,232235,151327,28005,47928,0.6054692592071165,0.8289281596784729,0.6997928358883573,0.6206115037202835,0.3818650484085083,0.7189886569976807,0.5328996181488037,4175.8
119,228852,150338,28994,51311,0.6035285740657718,0.8168530462623544,0.6941714074251577,0.6205496311187744,0.3864952474832535,0.7222735285758972,0.5295164585113525,4212.13
120,239881,156158,23174,40282,0.6057004486931843,0.8562194151261944,0.7094950917033668,0.6200592249631882,0.3859406977891922,0.7032583355903625,0.5237865447998047,4248.94
121,236509,158071,21261,43654,0.5993942926656192,0.8441835645677694,0.7010343197335874,0.6208011090755463,0.38733476400375366,0.7188516855239868,0.5259865522384644,4285.38
122,225336,153907,25425,54827,0.5941731291019214,0.8043032092032139,0.683451469959327,0.6286649405956268,0.38983037918806074,0.7098573446273804,0.5319119095802307,4322.06
123,215955,150514,28818,64208,0.5892858604684161,0.7708191302920085,0.6679378688342056,0.6269972920417786,0.3845601886510849,0.7250401377677917,0.5302798748016357,4359.1
124,241945,164086,15246,38218,0.5958781472350634,0.8635865549697854,0.7051795847821463,0.6255683779716492,0.38222585469484327,0.7235592603683472,0.5222125053405762,4398.44
125,238443,159902,19430,41720,0.5985841418870577,0.8510866888204367,0.702845065938795,0.6187039196491242,0.3785276412963867,0.7266295552253723,0.5355141162872314,4437.23
126,216483,144190,35142,63680,0.6002195894896485,0.7727037474612993,0.6756268374435893,0.62268086373806,0.38266495764255526,0.7109098434448242,0.523288369178772,4475.75
127,238697,157081,22251,41466,0.6031083081929769,0.8519933038980879,0.7062657835521147,0.6200687229633332,0.37994970828294755,0.7023802399635315,0.5290549993515015,4514.07
128,225542,151562,27770,54621,0.5980896516610802,0.8050384954472932,0.6863025224147873,0.620195347070694,0.3835559144616127,0.7229484915733337,0.5368252396583557,4551.58
129,233764,157997,21335,46399,0.5967005393594564,0.8343856968978773,0.6958048826950667,0.6272124409675598,0.38937284648418424,0.7107939720153809,0.5316556096076965,4586.99
130,258566,168150,11182,21597,0.605944000224974,0.9229127329447501,0.7315707497322739,0.6208552360534668,0.39038185924291613,0.7148442268371582,0.5277864933013916,4622.69
131,213823,135753,43579,66340,0.6116638441998307,0.7632092746008574,0.6790845096143006,0.6211615443229676,0.38260048180818557,0.7150044441223145,0.5340119004249573,4659.79
132,234710,152118,27214,45453,0.6067554572057865,0.8377623026595232,0.7037876073290346,0.6198021948337555,0.3845286563038826,0.7088695764541626,0.5304253697395325,4697.33
133,222835,146021,33311,57328,0.6041246448478539,0.7953762631039788,0.6866825162283385,0.6143559873104095,0.37933906018733976,0.7114279270172119,0.5316044092178345,4734.36
134,237222,158440,20892,42941,0.5995571978102522,0.8467285116164519,0.7020219731439352,0.6160950213670731,0.39083573073148725,0.7171024680137634,0.5167602896690369,4771.46
135,241785,161728,17604,38378,0.599200025773643,0.8630154588578791,0.7073087251856143,0.6156264513731002,0.38600303828716276,0.7067082524299622,0.5367457270622253,4808.2
136,195534,131993,47339,84629,0.597001163262876,0.6979294196592698,0.6435320640458129,0.6181471765041351,0.38379575312137604,0.7398661971092224,0.5342175364494324,4845.44
137,239273,155385,23947,40890,0.6062793608643433,0.8540492499009505,0.7091450918095316,0.616796201467514,0.3810487061738968,0.6997163891792297,0.5302541851997375,4882.4
138,229682,148315,31017,50481,0.607629161077998,0.8198156073428683,0.6979518658077063,0.6129033535718917,0.3801002874970436,0.7075589299201965,0.5343021154403687,4919.56
139,222166,142739,36593,57997,0.6088324358394651,0.7929883674860706,0.6888142025336864,0.611320149898529,0.38142177909612657,0.7190375924110413,0.5230963826179504,4956.54
140,218898,141828,37504,61265,0.6068262337619135,0.7813237294003847,0.683107371167238,0.6121899783611298,0.3844084858894348,0.7187613844871521,0.5340636968612671,4994.31
141,230825,152580,26752,49338,0.6020396186799859,0.8238953751922987,0.6957086538229691,0.6114472597837448,0.3789377748966217,0.7277079820632935,0.5287758708000183,5031.05
142,196935,133188,46144,83228,0.5965503766777838,0.7029300799891491,0.6453859338080834,0.6111603021621704,0.3794166296720505,0.7487424612045288,0.5366562008857727,5068.3
143,250322,159520,19812,29841,0.6107768359514154,0.8934870057787788,0.7255657567698783,0.6202416688203811,0.38535552769899367,0.698079526424408,0.5193118453025818,5106.63
144,237887,157472,21860,42276,0.6016987092743558,0.8491021298315623,0.7043057072900659,0.623702883720398,0.3895701602101326,0.7022927403450012,0.5141049027442932,5145.58
145,211860,136354,42978,68303,0.6084189607540191,0.7562026391779072,0.6743085759026826,0.6217242568731308,0.38349914103746413,0.7231592535972595,0.5271632075309753,5183.37
146,207724,137052,42280,72439,0.6024897324639766,0.7414398046851297,0.6647816826922308,0.6232129395008087,0.38463381975889205,0.7194348573684692,0.5331054925918579,5221.86
147,231913,153098,26234,48250,0.6023542184509014,0.8277788287532615,0.697300255271553,0.6165861427783966,0.3829382449388504,0.7094144225120544,0.5349539518356323,5260.49
148,231370,151667,27665,48793,0.6040408628931409,0.8258406713234795,0.6977382388419783,0.6095114469528198,0.37857792526483536,0.7205793261528015,0.53680020570755,5299.67
149,204749,133694,45638,75414,0.6049733633137633,0.7308209863543723,0.66196900773675,0.6102481991052627,0.37745123654603957,0.7264604568481445,0.5319258570671082,5335.98
